Year,Income bracket,Tax Rate
1973,772185.5203619909,66.0
1973,882497.737556561,68.0
1973,992809.9547511311,69.0
1973,1103122.1719457011,70.0
1974,0.0,14.0
1974,4975.306122448979,15.0
1974,9950.612244897959,16.0
1974,14925.918367346938,17.0
1974,19901.224489795917,19.0
1974,39802.448979591834,22.0
1974,59703.67346938775,25.0
1974,79604.89795918367,28.0
1974,99506.1224489796,32.0
1974,119407.3469387755,36.0
1974,139308.57142857142,39.0
1974,159209.79591836734,42.0
1974,179111.02040816325,45.0
1974,199012.2448979592,48.0
1974,218913.4693877551,50.0
1974,258715.91836734692,53.0
1974,318419.5918367347,55.0
1974,378123.2653061224,58.0
1974,437826.9387755102,60.0
1974,497530.61224489793,62.0
1974,597036.7346938775,64.0
1974,696542.8571428572,66.0
1974,796048.9795918368,68.0
1974,895555.1020408163,69.0
1974,995061.2244897959,70.0
1975,0.0,14.0
1975,4556.822429906542,15.0
1975,9113.644859813085,16.0
1975,13670.467289719625,17.0
1975,18227.28971962617,19.0
1975,36454.57943925234,22.0
1975,54681.8691588785,25.0
1975,72909.15887850468,28.0
1975,91136.44859813084,32.0
1975,109363.738317757,36.0
1975,127591.02803738319,39.0
1975,145818.31775700935,42.0
1975,164045.6074766355,45.0
1975,182272.89719626168,48.0
1975,200500.18691588784,50.0
1975,236954.7663551402,53.0
1975,291636.6355140187,55.0
1975,346318.50467289716,58.0
1975,401000.3738317757,60.0
1975,455682.2429906542,62.0
1975,546818.691588785,64.0
1975,637955.1401869159,66.0
1975,729091.5887850467,68.0
1975,820228.0373831776,69.0
1975,911364.4859813084,70.0
1976,0.0,14.0
1976,4299.647266313932,15.0
1976,8599.294532627864,16.0
1976,12898.941798941798,17.0
1976,17198.58906525573,19.0
1976,34397.17813051146,22.0
1976,51595.76719576719,25.0
1976,68794.35626102291,28.0
1976,85992.94532627866,32.0
1976,103191.53439153438,36.0
1976,120390.12345679011,39.0
1976,137588.71252204583,42.0
1976,154787.3015873016,45.0
1976,171985.8906525573,48.0
1976,189184.47971781302,50.0
1976,223581.6578483245,53.0
1976,275177.42504409165,55.0
1976,326773.19223985885,58.0
1976,378368.95943562605,60.0
1976,429964.72663139325,62.0
1976,515957.67195767193,64.0
1976,601950.6172839506,66.0
1976,687943.5626102292,68.0
1976,773936.5079365079,69.0
1976,859929.4532627865,70.0
1977,0.0,0.0
1977,12894.677685950413,14.0
1977,16924.26446280992,15.0
1977,20953.85123966942,16.0
1977,24983.438016528926,17.0
1977,29013.024793388427,19.0
1977,45131.371900826445,22.0
1977,61249.71900826446,25.0
1977,77368.06611570249,28.0
1977,93486.4132231405,32.0
1977,109604.76033057852,36.0
1977,125723.10743801652,39.0
1977,141841.45454545456,42.0
1977,157959.80165289255,45.0
1977,174078.14876033057,48.0
1977,190196.4958677686,50.0
1977,222433.1900826446,53.0
1977,270788.2314049587,55.0
1977,319143.2727272727,58.0
1977,367498.31404958677,60.0
1977,415853.35537190083,62.0
1977,496445.0909090909,64.0
1977,577036.8264462809,66.0
1977,657628.561983471,68.0
1977,738220.2975206611,69.0
1977,818812.0330578513,70.0
1978,0.0,0.0
1978,12001.969230769231,14.0
1978,15752.584615384614,15.0
1978,19503.2,16.0
1978,23253.815384615384,17.0
1978,27004.43076923077,19.0
1978,42006.89230769231,22.0
1978,57009.35384615384,25.0
1978,72011.81538461537,28.0
1978,87014.27692307692,32.0
1978,102016.73846153845,36.0
1978,117019.2,39.0
1978,132021.66153846154,42.0
1978,147024.12307692308,45.0
1978,162026.5846153846,48.0
1978,177029.04615384617,50.0
1978,207033.96923076923,53.0
1978,252041.35384615383,55.0
1978,297048.73846153845,58.0
1978,342056.1230769231,60.0
1978,387063.50769230764,62.0
1978,462075.8153846154,64.0
1978,537088.123076923,66.0
1978,612100.4307692308,68.0
1978,687112.7384615385,69.0
1978,762125.0461538461,70.0
1979,0.0,0.0
1979,11480.415512465373,14.0
1979,18571.26038781163,16.0
1979,25662.105263157893,18.0
1979,40181.454293628805,21.0
1979,54025.48476454293,24.0
1979,68207.17451523546,28.0
1979,83064.18282548476,32.0
1979,100960.12465373961,37.0
1979,118856.06648199445,43.0
1979,154647.95013850415,49.0
1979,202595.567867036,54.0
1979,289036.34349030466,59.0
1979,369399.2520775623,64.0
1979,548358.6703601107,68.0
1979,727318.0886426592,70.0
1980,0.0,0.0
1980,10047.10303030303,14.0
1980,16252.666666666668,16.0
1980,22458.230303030305,18.0
1980,35164.8606060606,21.0
1980,47280.48484848485,24.0
1980,59691.61212121212,28.0
1980,72693.74545454545,32.0
1980,88355.40606060607,37.0
1980,104017.06666666667,43.0
1980,135340.38787878788,49.0
1980,177301.81818181818,54.0
1980,252950.5939393939,59.0
1980,323280.3151515151,64.0
1980,479896.9212121212,68.0
1980,636513.5272727272,70.0
1981,0.0,0.0
1981,9158.961325966851,14.0
1981,14815.966850828729,16.0
1981,20472.972375690606,18.0
1981,32056.364640883978,21.0
1981,43100.99447513812,24.0
1981,54415.005524861874,28.0
1981,66267.77900552486,32.0
1981,80544.98342541436,37.0
1981,94822.18784530387,43.0
1981,123376.59668508287,49.0
1981,161628.72928176794,54.0
1981,230590.32044198894,59.0
1981,294703.0497237569,64.0
1981,437475.0939226519,68.0
1981,580247.138121547,70.0
1982,0.0,0.0
1982,8545.216494845361,12.0
1982,13823.144329896906,14.0
1982,19101.072164948455,16.0
1982,29908.25773195876,19.0
1982,40212.78350515464,22.0
1982,50768.63917525773,25.0
1982,61827.154639175256,29.0
1982,75147.63917525773,33.0
1982,88468.1237113402,39.0
1982,115109.09278350516,44.0
1982,150797.93814432988,49.0
1982,215138.39175257733,50.0
1983,0.0,0.0
1983,8338.893360160964,11.0
1983,13489.386317907443,13.0
1983,18639.879275653922,15.0
1983,29186.12676056338,17.0
1983,39241.851106639835,19.0
1983,49542.83702213279,23.0
1983,60334.34607645875,26.0
1983,73333.20925553319,30.0
1983,86332.07243460763,35.0
1983,112329.79879275653,40.0
1983,147156.94164989938,44.0
1983,209943.90342052313,48.0
1983,268316.15694164985,50.0
1984,0.0,0.0
1984,7993.114754098359,11.0
1984,12930.03857280617,12.0
1984,17866.962391513982,14.0
1984,27975.90163934426,16.0
1984,37614.65766634522,18.0
1984,47488.505303760845,22.0
1984,57832.53616200578,25.0
